"SSG-Nr.","SSG","Bibliothek","ISIL"
"0","Allgemeine und vergleichende Religionswissenschaft","Tübingen UB <21>","DE-21"
"1","Theologie","Tübingen UB <21>","DE-21"
"2","Rechtswissenschaft","Berlin SBB Haus Potsdamer Str <1a>","DE-1a"
"2,1","Kriminologie und Kriminalistik","Tübingen Inst. Kriminolog. <21/110>","DE-21-110"
"3,1","Volkswirtschaft und Weltwirtschaft","Kiel ZBW WGL <206>","DE-206"
"3,1","Volkswirtschaft und Weltwirtschaft","Hamburg ZBW WGL <206 H>","DE-206H"
"3,2","Betriebswirtschaft","Köln USB <38>","DE-38"
"3,3","Versicherungswesen [entfällt]","Köln USB <38>","DE-38"
"3,4","Sozialwissenschaften","Köln USB <38>","DE-38"
"3,5","Kommunikations- und Medienwissenschaften. Publizistik","Leipzig UB <15>","DE-15"
"3,6","Politik, Friedensforschung","Hamburg SUB <18>","DE-18"
"3,61","Parteien und Gewerkschaften aus Europa und Nordamerika (nicht-konventionelle Literatur)","Bibliothek Bonn F.-Ebert-Stiftung","DE-Bo133"
"3,7","Verwaltungswissenschaften","Hamburg SUB <18>","DE-18"
"3,8","Kommunalwissenschaften (deutschsprachiger Bereich)","Berlin SenatsB <109/720>","DE-109-720"
"4","Medizin","Köln ZBMedizin <38 M>","DE-38M"
"5,1","Philosophie","Erlangen-N UB <29>","DE-29"
"5,2","Psychologie","Saarbrücken UuLB <291>","DE-291"
"5,21","Parapsychologie","Freiburg Inst Grenzgeb Psychol <25/122>","DE-25-122"
"5,3","Bildungsforschung","Erlangen-N UB <29>","DE-29"
"5,31","Bildungsgeschichte (deutschsprachiger Raum)","Berlin BBF/DIPF","DE-B478"
"6,11","Vor- und Frühgeschichte","München BSB <12>","DE-12"
"6,12","Klassische Altertumswissenschaft einschl. Alte Geschichte, Mittel- und Neulateinische Philologie","München BSB <12>","DE-12"
"6,14","Klassische Archäologie","Heidelberg UB <16>","DE-16"
"6,15","Byzanz","München BSB <12>","DE-12"
"6,16","Neuzeitliches Griechenland","Jena UuLB <27>","DE-27"
"6,21","Ägyptologie","Heidelberg UB <16>","DE-16"
"6,22","Alter Orient","Tübingen UB <21>","DE-21"
"6,23","Vorderer Orient einschl. Nordafrika","Halle/S UuLB <3>","DE-3"
"6,231","Nicht-konventionelle Materialien aus dem Vorderen Orient einschl. Nordafrika","Hamburg GIGA FB Nahost","DE-H223"
"6,24","Südasien","Heidelberg Südasien-Inst. <16/77>","DE-16-77"
"6,25","Ost- und Südostasien","Berlin SBB Haus Potsdamer Str <1a>","DE-1a"
"6,251","Nicht-konventionelle Materialien aus Ost- und Südostasien","Hamburg GIGA FB Asien","DE-H222"
"6,26","Altaische und paläoasiatische Sprachen, Literaturen und Kulturen","Göttingen SuUB <7>","DE-7"
"6,31","Afrika südlich der Sahara","Frankfurt/M UB <30>","DE-30"
"6,311","Nicht-konventionelle Materialien aus Afrika südlich der Sahara","Hamburg GIGA FB Afrika","DE-H221"
"6,32","Ozeanien","Frankfurt/M UB <30>","DE-30"
"6,33","Indigene Völker Nordamerikas und der Arktis","Hamburg SUB <18>","DE-18"
"7,11","Allgemeine und vergleichende Sprachwissenschaft, Allgemeine Linguistik","Frankfurt/M UB <30>","DE-30"
"7,12","Allgemeine und vergleichende Literaturwissenschaft","Frankfurt/M UB <30>","DE-30"
"7,20","Germanistik, Deutsche Sprache und Literatur","Frankfurt/M UB <30>","DE-30"
"7,22","Skandinavien","Kiel UB <8>","DE-8"
"7,23","Benelux (Niederländischer Kulturkreis)","Münster UuLB <6>","DE-6"
"7,23","Benelux (Kulturkreis Belgien/Luxemburg)","Köln USB <38>","DE-38"
"7,24","Anglistik, Allgemeines","Göttingen SuUB <7>","DE-7"
"7,25","Großbritannien und Irland","Göttingen SuUB <7>","DE-7"
"7,26","Nordamerika","Göttingen SuUB <7>","DE-7"
"7,261","Nordamerikanische Zeitungen","Berlin UBFU JFKennedy-Inst. <188/144>","DE-188-144"
"7,27","Keltologie","Göttingen SuUB <7>","DE-7"
"7,29","Australien, Neuseeland","Göttingen SuUB <7>","DE-7"
"7,30","Romanistik, Allgemeines","Bonn UuLB <5>","DE-5"
"7,31","Französische Sprache und Literatur","Bonn UuLB <5>","DE-5"
"7,32","Italienische Sprache und Literatur","Bonn UuLB <5>","DE-5"
"7,34","Spanien, Portugal","Hamburg SUB <18>","DE-18"
"7,36","Ibero-Amerika","Berlin IAI <204>","DE-204"
"7,38","Rumänische Sprache und Literatur","Jena UuLB <27>","DE-27"
"7,39","Slawistik","Berlin SBB Haus Potsdamer Str <1a>","DE-1a"
"7,40","Einzelne slawische Sprachen und Literaturen [entfällt]","Berlin SBB Haus Potsdamer Str <1a>","DE-1a"
"7,41","Ost-, Ostmittel- und Südosteuropa","München BSB <12>","DE-12"
"7,43","Albanische Sprache und Literatur","Jena UuLB <27>","DE-27"
"7,44","Baltische Länder","Greifswald UB <9>","DE-9"
"7,50","Finno-Ugristik","Göttingen SuUB <7>","DE-7"
"7,51","Finnland","Göttingen SuUB <7>","DE-7"
"7,52","Ungarn","Göttingen SuUB <7>","DE-7"
"7,53","Estnische Sprache und Literatur","Göttingen SuUB <7>","DE-7"
"7,6","Israel","Frankfurt/M UB <30>","DE-30"
"7,7","Judentum","Frankfurt/M UB <30>","DE-30"
"8","Geschichte, Allgemeines","München BSB <12>","DE-12"
"8,1","Geschichte Deutschlands, Österreichs und der Schweiz","München BSB <12>","DE-12"
"8,2","Geschichte Frankreichs und Italiens","München BSB <12>","DE-12"
"8,3","Nicht-konventionelle Materialien zur Zeitgeschichte aus dem deutschsprachigen Bereich","Stuttgart WLB <24>","DE-24"
"9,10","Allgemeine Kunstwissenschaft, Mittlere und Neuere Kunstgeschichte bis 1945","Heidelberg UB <16>","DE-16"
"9,11","Zeitgenössische Kunst ab 1945","Dresden SLUB, ZB <14>","DE-14"
"9,11","Zeitgenössische Kunst ab 1945","Dresden SLUB, ZB <14/00>","DE-14-00"
"9,2","Musikwissenschaft","München BSB <12>","DE-12"
"9,3","Theater und Filmkunst","Frankfurt/M UB <30>","DE-30"
"10","Volks- und Völkerkunde","Berlin UB Humboldt <11>","DE-11"
"11","Naturwissenschaften, Allgemeines","Göttingen SuUB <7>","DE-7"
"12","Biologie; Botanik; Zoologie","Frankfurt/M UB <30>","DE-30"
"12,1","Botanik [entfällt]","Frankfurt/M UB <30>","DE-30"
"12,2","Zoologie [entfällt]","Frankfurt/M UB <30>","DE-30"
"13","Geologie, Mineralogie, Petrologie und Bodenkunde","Freiberg TU BA <105>","DE-105"
"13,1","Regionale Geologie","Hannover BA Geowiss.","DE-Hv112"
"14","Geographie","Göttingen SuUB <7>","DE-7"
"14,1","Veröffentlichungen zur Kartographie","Berlin SBB Haus Potsdamer Str <1a>","DE-1a"
"15","Chemie","Hannover TIB/UB <89>","DE-89"
"15,3","Pharmazie","Braunschweig UBTU <84>","DE-84"
"16","Physik","Hannover TIB/UB <89>","DE-89"
"16,12","Astronomie, Astrophysik, Weltraumforschung","Göttingen SuUB <7>","DE-7"
"16,13","Geophysik","Göttingen SuUB <7>","DE-7"
"16,14","Meteorologie","Offenbach Wetter","DE-B23"
"16,15","Ozeanographie","Hamburg BA Seeschifffahrt","DE-H2"
"17,1","Reine Mathematik","Göttingen SuUB <7>","DE-7"
"17,2","Angewandte Mathematik","Hannover TIB/UB <89>","DE-89"
"17,3","Geodäsie und Vermessungswesen","Hannover TIB/UB <89>","DE-89"
"18","Informatik, Datenverarbeitung","Hannover TIB/UB <89>","DE-89"
"19","Ingenieurwissenschaften, Technik","Hannover TIB/UB <89>","DE-89"
"19,1","Bergbau, Markscheidekunde, Hüttenwesen","Freiberg TU BA <105>","DE-105"
"19,2","Technikgeschichte","Dresden SLUB, ZB <14>","DE-14"
"19,2","Technikgeschichte","Dresden SLUB, ZB <14/00>","DE-14-00"
"20","Architektur, Städtebau, Landesplanung, Raumordnung","Hannover TIB/UB <89>","DE-89"
"20,1","Nicht-konventionelle Materialien zu Städtebau, Landesplanung, Raumordnung aus dem deutschsprachigen Bereich","Berlin SenatsB <109/720>","DE-109-720"
"21","Agrarwissenschaften","Bonn ZBMed.Köln/BB Ernährung <98>","DE-98"
"21,3","Küsten- und Hochseefischerei","Hamburg SUB <18>","DE-18"
"22","Veterinärmedizin, Allgemeine Parasitologie","Hannover TierHS <95>","DE-95"
"23","Forstwissenschaft","Göttingen SuUB <7>","DE-7"
"24","Allgemeine Wissenschaftstheorie [entfällt]","Göttingen SuUB <7>","DE-7"
"24,1","Informations-, Buch- und Bibliothekswesen","Göttingen SuUB <7>","DE-7"
"24,2","Hochschulwesen, Organisation der Wissenschaften und ihrer Einrichtungen","Berlin UB Humboldt <11>","DE-11"
"25","Universale wissenschaftliche Zeitschriften","Göttingen SuUB <7>","DE-7"
"26","Ausländische Zeitungen","Berlin SBB Zeitungsabteilung <1w>","DE-1w"
"27","Parlamentsschriften","Berlin SBB Haus Potsdamer Str <1a>","DE-1a"
"28,1","Topographische Karten","Berlin SBB Haus Potsdamer Str <1a>","DE-1a"
"28,2","Thematische Karten","Göttingen SuUB <7>","DE-7"
"28,3","Seekarten","Hamburg BA Seeschifffahrt","DE-H2"
"28,3","Seekarten","Rostock BA Seeschifffahrt","DE-R104"
"28,4","Meteorologische und klimatologische Karten","Offenbach Wetter","DE-B23"
"30","Schulbücher","Braunschweig Georg-Eckert-Inst","DE-Bs78"
"31","Sportwissenschaft","Köln SportHS ZB","DE-Kn41"